Date,Opponent,Score,B_to,B_stl,B_blk,B_ast,BC_to,BC_stl,BC_blk,BC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_def_eff,P_net_eff,OP_pf,OP_def eff,OP_net_eff
Nov 2,vs. East Georgia State College,"W, 65-48",16,21,9,13,33.0,15.0,4.0,15.0,23-77,29.9,4-18,22.2,15-31,48.4,65.0,21-67,31.3,3-9,33.3,48.0,17,32,49,-1.0,15.0,35.0,50.0,-1.0,24,0.542,0.168,24,0.542,0.168
Nov 3,vs. Santa Fe College,"L, 81-78",21,21,4,13,29.0,12.0,2.0,20.0,29-85,34.1,3-14,21.4,18-37,48.6,78.0,27-75,36.0,2-19,10.5,81.0,18,24,42,-20.0,19.0,43.0,62.0,-20.0,27,0.81,-0.078,27,0.81,-0.078
Nov 5,Daytona State College,"W, 65-54",18,12,6,9,29.0,12.0,1.0,4.0,22-77,28.6,3-16,18.8,18-29,62.1,65.0,19-85,22.4,1-14,7.1,54.0,19,37,56,8.0,18.0,30.0,48.0,8.0,17,0.482,0.236,17,0.482,0.236
Nov 8,vs. College of Central Florida,"L, 66-48",17,9,5,7,8.0,9.0,5.0,16.0,18-69,26.1,7-22,31.8,5-14,35.7,48.0,24-61,39.3,4-16,25.0,66.0,10,31,41,-5.0,12.0,34.0,46.0,-5.0,10,0.936,-0.358,10,0.936,-0.358
Nov 9,vs. Daytona State College,"L, 54-53",20,8,3,9,12.0,8.0,4.0,13.0,19-62,30.6,3-16,18.8,12-20,60.0,53.0,21-62,33.9,4-16,25.0,54.0,18,27,45,7.0,14.0,24.0,38.0,7.0,20,0.812,-0.096,20,0.812,-0.096
Nov 23,Hillsborough Community College,"L, 75-66",20,7,4,12,12.0,33.0,3.0,24.0,27-66,40.9,5-27,18.5,7-13,53.8,0.0,29-77,37.7,2-13,15.4,0.0,11,35,46,-10.0,18.0,38.0,56.0,-10.0,0,0,0,0,0,0
Nov 29,at Northwest Florida State College,"L, 106-52",33,8,1,2,23.0,19.0,3.0,25.0,19-76,25.0,1-20,5.0,13-26,50.0,52.0,40-73,54.8,7-19,36.8,106.0,24,24,48,-2.0,15.0,35.0,50.0,-2.0,22,1.104,-0.574,22,1.104,-0.574
Nov 30,vs. Chipola College,"L, 98-51",25,8,1,6,13.0,15.0,6.0,32.0,13-42,31.0,0-8,0.0,25-32,78.1,51.0,33-68,48.5,10-29,34.5,98.0,6,21,27,-3.0,10.0,20.0,30.0,-3.0,0,1.167,-0.504,0,1.167,-0.504
Dec 6,vs. Daytona State College,"L, 67-64",20,5,6,11,14.0,12.0,0.0,14.0,27-71,38.0,5-23,21.7,5-9,55.6,64.0,24-66,36.4,8-23,34.8,67.0,16,31,47,22.0,14.0,11.0,25.0,22.0,15,0.859,-0.054,15,0.859,-0.054
Dec 7,at College of Central Florida,"L, 70-64",20,11,2,10,12.0,8.0,6.0,15.0,26-75,34.7,8-27,29.6,4-8,50.0,64.0,24-65,36.9,3-16,18.8,70.0,21,24,45,7.0,14.0,24.0,38.0,7.0,0,0.892,-0.071,0,0.892,-0.071
