Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff,,,,,,,,
Oct 14 #,Florida Memorial College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Oct 21 #,Johnson & Wales,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Oct 31,Hillsborough Community College,"W, 95-73",19,10,0,15,17.0,16.0,3.0,11.0,38-106,35.8,11-27,40.7,30-39,76.9,95.0,26-82,31.7,6-26,23.1,73.0,18,38,56,27.0,10.0,19.0,29.0,27.0,22,0.751,0.014,28.0,0.737,0.014,,,,,,,,
Nov 2,at Webber JV,"W, 75-29",17,25,9,15,0.0,0.0,0.0,0.0,28-94,29.8,5-18,27.8,14-24,58.3,75.0,0-0,-,0-0,-,29.0,37,28,65,65.0,0.0,0.0,0.0,65.0,17,0.872,0.872,0.0,-,0.872,,,,,,,,
Nov 3,ASA College (Miami),"W, 2-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Nov 6,vs. Hillsborough Community College,"L, 80-68",17,8,2,11,10.0,7.0,5.0,12.0,25-78,32.1,5-22,22.7,13-29,44.8,68.0,23-67,34.3,4-18,22.2,80.0,21,28,49,12.0,17.0,20.0,37.0,12.0,28,0.768,-0.213,18.0,0.982,-0.213,,,,,,,,
Nov 7,at Daytona State College,"L, 76-73",18,7,10,14,13.0,17.0,2.0,12.0,28-74,37.8,2-19,10.5,15-29,51.7,73.0,30-67,44.8,5-15,33.3,76.0,20,32,52,20.0,10.0,22.0,32.0,20.0,20,0.844,-0.112,23.0,0.956,-0.112,,,,,,,,
Nov 13,at College of Central Florida,"L, 61-57",0,15,7,10,29.0,9.0,4.0,15.0,20-80,25.0,8-24,33.3,9-12,75.0,57.0,21-62,33.9,2-7,28.6,61.0,16,21,37,-16.0,17.0,36.0,53.0,-16.0,0,0.814,0.113,14.0,0.701,0.113,,,,,,,,
Nov 14,vs. Santa Fe College,"W, 74-65",0,18,8,15,26.0,16.0,4.0,12.0,26-72,36.1,8-18,44.4,14-21,66.7,74.0,21-73,28.8,6-26,23.1,65.0,21,30,51,1.0,18.0,32.0,50.0,1.0,0,1.203,0.530,17.0,0.674,0.530,,,,,,,,
Nov 19,at ASA College (Miami),"W, 103-47",6,20,3,18,13.0,0.0,0.0,0.0,35-79,44.3,11-22,50.0,22-36,61.1,103.0,0-0,-,0-0,-,47.0,31,31,62,0.0,31.0,31.0,62.0,0.0,0,1.431,4.042,9.0,-2.611,4.042,,,,,,,,
Dec 8,vs. Hillsborough Community College,"W, 101-65",15,16,3,21,45.0,17.0,7.0,9.0,34-79,43.0,15-30,50.0,18-24,75.0,101.0,25-75,33.3,2-13,15.4,65.0,21,37,58,-39.0,39.0,58.0,97.0,-39.0,0,1.188,0.470,34.0,0.718,0.470,,,,,,,,
Dec 11,College of Central Florida,"L, 97-81",0,9,8,9,21.0,13.0,5.0,22.0,27-80,33.8,11-31,35.5,16-21,76.2,81.0,33-81,40.7,4-8,50.0,97.0,16,25,41,-16.0,16.0,41.0,57.0,-16.0,0,1.087,0.122,0.0,0.965,0.122,,,,,,,,
Dec 12,Clinton Junior College,"W, 100-64",0,14,2,15,0.0,0.0,0.0,0.0,30-72,41.7,16-26,61.5,24-30,80.0,100.0,0-0,-,0-0,-,64.0,22,30,52,0.0,22.0,30.0,52.0,0.0,0,1.538,4.448,0.0,-2.909,4.448,,,,,,,,
Dec 13,Baltimore City Community College,"W, 98-63",0,16,2,24,26.0,3.0,13.0,15.0,33-88,37.5,10-24,41.7,22-30,73.3,98.0,28-76,36.8,2-13,15.4,63.0,26,26,52,-4.0,21.0,35.0,56.0,-4.0,0,1.273,0.532,21.0,0.741,0.532,,,,,,,,
Dec 14,Johnson County Community College,"L, 88-75",0,8,0,13,15.0,12.0,1.0,13.0,27-57,47.4,7-15,46.7,15-19,78.9,75.0,29-68,42.6,8-18,44.4,88.0,10,24,34,-15.0,19.0,30.0,49.0,-15.0,0,1.327,0.241,23.0,1.086,0.241,,,,,,,,
Jan 2,ASA College (Miami),"W, 82-51",11,10,3,6,10.0,0.0,0.0,0.0,28-68,41.2,8-25,32.0,18-23,78.3,82.0,0-0,-,0-0,-,51.0,31,36,67,4.0,26.0,37.0,63.0,4.0,1,1.378,4.566,0.0,-3.188,4.566,,,,,,,,
Jan 5,IMG Academy,"W, 78-71",16,9,4,11,0.0,0.0,0.0,0.0,33-74,44.6,6-15,40.0,6-9,66.7,78.0,0-0,-,0-0,-,71.0,14,31,45,4.0,12.0,29.0,41.0,4.0,18,0.969,6.886,0.0,-5.917,6.886,,,,,,,,
Jan 6,Broward College,"L, 76-71",14,8,5,10,17.0,11.0,3.0,12.0,23-52,44.2,6-9,66.7,19-26,73.1,71.0,28-69,40.6,5-17,29.4,76.0,19,26,45,0.0,16.0,29.0,45.0,0.0,18,1.183,0.233,23.0,0.950,0.233,,,,,,,,
Jan 9,at Eastern Florida State College,"L, 105-85",4,6,0,7,20.0,4.0,6.0,24.0,25-62,40.3,6-28,21.4,29-38,76.3,85.0,39-73,53.4,13-32,40.6,105.0,14,23,37,2.0,12.0,23.0,35.0,2.0,0,1.197,0.043,27.0,1.154,0.043,,,,,,,,
Jan 12,at Palm Beach State College,"L, 74-63",8,10,2,6,13.0,7.0,5.0,16.0,23-95,24.2,5-20,25.0,16-21,76.2,63.0,24-50,48.0,7-13,53.8,74.0,16,20,36,-4.0,6.0,34.0,40.0,-4.0,23,0.646,-0.403,18.0,1.050,-0.403,,,,,,,,
Jan 14,St. Petersburg College,"L, 76-71",23,23,3,7,27.0,8.0,2.0,10.0,24-72,33.3,1-10,10.0,22-41,53.7,71.0,27-53,50.9,8-17,47.1,76.0,19,19,38,-8.0,12.0,34.0,46.0,-8.0,23,0.736,-0.251,0.0,0.987,-0.251,,,,,,,,
Jan 16,Indian River State College,"W, 91-82",16,20,4,18,28.0,10.0,0.0,14.0,31-70,44.3,6-20,30.0,23-31,74.2,91.0,26-46,56.5,8-14,57.1,82.0,11,16,27,-5.0,12.0,20.0,32.0,-5.0,15,1.006,-0.066,19.0,1.072,-0.066,,,,,,,,
Jan 20,at Broward College,"L, 71-69",14,6,4,7,11.0,13.0,3.0,13.0,23-67,34.3,6-20,30.0,17-27,63.0,69.0,29-67,43.3,6-17,35.3,71.0,12,28,40,10.0,13.0,17.0,30.0,10.0,14,0.836,-0.185,18.0,1.022,-0.185,,,,,,,,
Jan 23,St. Petersburg College,"W, 82-73",14,17,5,9,28.0,8.0,2.0,19.0,27-66,40.9,7-15,46.7,21-25,84.0,82.0,30-65,46.2,5-15,33.3,73.0,16,26,42,5.0,12.0,25.0,37.0,5.0,7,1.072,0.238,0.0,0.834,0.238,,,,,,,,
Jan 26,Palm Beach State College,"W, 79-54",0,13,5,9,23.0,8.0,3.0,9.0,27-59,45.8,5-13,38.5,19-28,67.9,79.0,17-47,36.2,6-19,31.6,54.0,15,22,37,0.0,13.0,24.0,37.0,0.0,0,1.362,0.574,15.0,0.788,0.574,,,,,,,,
Jan 30,Eastern Florida State College,"W, 72-68",9,7,5,8,16.0,7.0,2.0,11.0,28-82,34.1,4-24,16.7,12-23,52.2,72.0,28-67,41.8,5-22,22.7,68.0,28,24,52,12.0,13.0,27.0,40.0,12.0,13,0.966,0.066,19.0,0.901,0.066,,,,,,,,
Feb 6,at Indian River State College,"W, 88-70",12,18,5,17,27.0,7.0,3.0,10.0,26-56,46.4,10-11,90.9,26-33,78.8,88.0,26-60,43.3,7-22,31.8,70.0,18,23,41,-2.0,17.0,26.0,43.0,-2.0,6,1.323,0.414,23.0,0.909,0.414,,,,,,,,
Feb 9,Broward College,"L, 93-71",28,11,2,5,15.0,15.0,5.0,17.0,20-77,26.0,4-16,25.0,26-46,56.5,71.0,36-65,55.4,7-16,43.8,93.0,29,26,55,26.0,6.0,23.0,29.0,26.0,12,0.717,-0.397,31.0,1.114,-0.397,,,,,,,,
Feb 13,at Eastern Florida State College,"L, 110-76",11,5,6,7,11.0,9.0,1.0,27.0,29-104,27.9,4-25,16.0,22-30,73.3,76.0,43-76,56.6,11-24,45.8,110.0,22,25,47,-1.0,14.0,34.0,48.0,-1.0,10,0.704,-0.598,23.0,1.302,-0.598,,,,,,,,
Feb 15,Indian River State College,"W, 80-66",21,15,2,8,0.0,0.0,0.0,0.0,26-72,36.1,5-13,38.5,23-32,71.9,80.0,22-57,38.6,3-11,27.3,66.0,24,25,49,49.0,0.0,0.0,0.0,49.0,17,0.941,-0.022,0.0,0.964,-0.022,,,,,,,,
Feb 17,at Palm Beach State College,"W, 69-61",4,11,10,5,17.0,6.0,6.0,11.0,24-65,36.9,5-12,41.7,16-28,57.1,69.0,23-55,41.8,9-21,42.9,61.0,20,33,53,22.0,7.0,24.0,31.0,22.0,7,1.095,0.224,25.0,0.871,0.224,,,,,,,,
Feb 20,at St. Petersburg College,"W, 80-75",13,12,5,19,18.0,9.0,4.0,18.0,32-75,42.7,5-17,29.4,11-22,50.0,80.0,28-62,45.2,8-14,57.1,75.0,18,28,46,11.0,8.0,27.0,35.0,11.0,8,0.988,0.050,0.0,0.938,0.050,,,,,,,,
