Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_ct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 1,at Florida Memorial College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 6,vs. Hinds Community College,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 18,Johnson & Wales University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 29,Barry University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 3,at Hillsborough Community College,"L, 84-81",20,21,1,8,29.0,11.0,6.0,14.0,28-70,40.0,5-15,33.3,22-34,64.7,81.0,31-77,40.3,8-29,27.6,84.0,20,35,55,20.0,16.0,19.0,35.0,20.0,19,0.931,0.095,22,0.836,0.095
Nov 5,at St. Petersburg College,"W, 2-0",19,15,2,17,41.0,11.0,2.0,5.0,24-51,47.1,1-8,12.5,20-29,69.0,69.0,35-75,46.7,6-21,28.6,85.0,11,28,39,-48.0,17.0,70.0,87.0,-48.0,3,0.939,0.170,25,0.769,0.17
Nov 8,Tallahassee Community College,"L, 111-58",41,14,2,11,22.0,22.0,4.0,19.0,22-82,26.8,3-13,23.1,15-28,53.6,58.0,39-80,48.8,6-14,42.9,111.0,23,19,42,-7.0,20.0,29.0,49.0,-7.0,28,0.509,-0.590,26,1.099,-0.59
Nov 11,vs. Santa Fe College,"W, 91-75",4,18,0,14,29.0,15.0,6.0,13.0,32-72,44.4,2-6,33.3,25-41,61.0,91.0,26-81,32.1,8-30,26.7,75.0,16,35,51,5.0,20.0,26.0,46.0,5.0,0,1.130,0.409,24,0.721,0.409
Nov 12,at College of Central Florida,"W, 80-79",11,22,3,18,24.0,13.0,0.0,18.0,28-63,44.4,7-29,24.1,17-27,63.0,80.0,31-73,42.5,7-21,33.3,79.0,21,29,50,-3.0,17.0,36.0,53.0,-3.0,7,1.203,0.330,27,0.873,0.33
Nov 18,St. Petersburg College,"L, 71-61",0,13,0,1,23.0,16.0,0.0,6.0,19-45,42.2,2-5,40.0,21-35,60.0,61.0,25-67,37.3,3-10,30.0,71.0,11,28,39,7.0,8.0,24.0,32.0,7.0,0,1.184,0.445,25,0.74,0.445
Nov 19,Florida State College at Jacksonville,"W, 57-54",6,11,1,12,22.0,11.0,0.0,14.0,23-44,52.3,6-14,42.9,5-6,83.3,57.0,23-60,38.3,2-15,13.3,54.0,9,18,27,-10.0,16.0,21.0,37.0,-10.0,0,1.295,0.524,8,0.771,0.524
Nov 23,Chipola College,"L, 85-77",7,8,0,14,14.0,9.0,7.0,16.0,21-46,45.7,6-16,37.5,10-17,58.8,77.0,33-60,55.0,6-14,42.9,85.0,20,27,47,1.0,16.0,30.0,46.0,1.0,0,1.855,0.605,0,1.25,0.605
Nov 30,IMG Academy,"W, 82-69",0,19,0,8,0.0,0.0,0.0,0.0,30-57,52.6,11-15,73.3,11-15,73.3,82.0,0-0,-,0-0,-,69.0,20,26,46,46.0,0.0,0.0,0.0,46.0,0,1.843,1.843,0,-,1.843
Dec 5,Hillsborough Community College,"W, 89-69",0,13,0,14,27.0,10.0,2.0,17.0,31-55,56.4,8-14,57.1,19-23,82.6,89.0,28-65,43.1,10-23,43.5,69.0,19,28,47,24.0,8.0,15.0,23.0,24.0,0,1.874,1.090,20,0.784,1.09
Dec 7,at IMG Academy,"W, 65-63",0,10,2,7,0.0,0.0,0.0,0.0,22-47,46.8,4-9,44.4,17-24,70.8,65.0,0-0,-,0-0,-,63.0,22,30,52,52.0,0.0,0.0,0.0,52.0,0,1.757,1.757,0,-,1.757
Dec 8,Baltimore City Community College,"L, 83-81",20,13,0,11,23.0,8.0,5.0,14.0,27-48,56.3,3-4,75.0,24-33,72.7,81.0,32-63,50.8,7-16,43.8,83.0,13,31,44,23.0,20.0,1.0,21.0,23.0,0,1.133,0.019,16,1.114,0.019
Dec 9,North Central Missouri College,"W, 94-85",4,11,0,8,21.0,9.0,0.0,19.0,30-55,54.5,8-12,66.7,24-31,77.4,94.0,29-59,49.2,9-23,39.1,85.0,16,21,37,8.0,11.0,18.0,29.0,8.0,0,1.607,0.564,22,1.043,0.564
Dec 10,Daytona State College,"L, 97-67",14,10,0,8,8.0,7.0,0.0,18.0,23-50,46.0,8-14,57.1,13-15,86.7,67.0,36-77,46.8,9-26,34.6,97.0,9,23,32,-7.0,16.0,23.0,39.0,-7.0,0,1.072,-0.140,12,1.212,-0.14
Dec 17,vs. Wake Technical Community College,"W, 93-60",1,17,0,30,19.0,7.0,1.0,11.0,33-55,60.0,12-17,70.6,15-17,88.2,93.0,19-54,35.2,3-15,20.0,60.0,23,28,51,16.0,9.0,26.0,35.0,16.0,0,2.241,1.457,12,0.784,1.457
Dec 18,vs. Wayne County Community College,"W, 89-35",0,19,4,21,22.0,4.0,0.0,8.0,33-52,63.5,7-10,70.0,17-21,81.0,89.0,15-42,35.7,2-9,22.2,35.0,14,36,50,26.0,7.0,17.0,24.0,26.0,0,1.835,1.261,0,0.574,1.261
Dec 29,vs. Daytona State College,"L, 64-53",0,7,0,0,19.0,8.0,1.0,8.0,21-68,30.9,6-16,37.5,5-10,50.0,53.0,24-53,45.3,3-14,21.4,64.0,9,11,20,-34.0,25.0,29.0,54.0,-34.0,0,0.828,-0.305,13,1.133,-0.305
Dec 30,vs. Chipola College,"L, 63-45",23,7,0,2,14.0,16.0,8.0,12.0,14-39,35.9,1-2,50.0,16-27,59.3,45.0,22-60,36.7,4-15,26.7,63.0,7,15,22,-21.0,11.0,32.0,43.0,-21.0,19,0.657,-0.183,0,0.84,-0.183
Jan 14,Palm Beach State College,"L, 74-65",25,12,4,9,11.0,18.0,3.0,13.0,23-67,34.3,4-16,25.0,15-30,50.0,65.0,31-60,51.7,2-16,12.5,74.0,24,27,51,18.0,11.0,22.0,33.0,18.0,17,0.783,-0.289,22,1.072,-0.289
Jan 17,Eastern Florida State College,"W, 86-64",13,18,1,21,27.0,4.0,3.0,15.0,35-79,44.3,9-26,34.6,7-17,41.2,86.0,22-57,38.6,7-25,28.0,64.0,22,24,46,13.0,11.0,22.0,33.0,13.0,14,1.096,0.310,15,0.785,0.31
Jan 21,at ASA College (Miami),"W, 94-34",4,19,13,21,0.0,0.0,0.0,0.0,28-57,49.1,8-14,57.1,30-38,78.9,94.0,0-0,-,0-0,-,34.0,26,38,64,64.0,0.0,0.0,0.0,64.0,0,1.741,1.741,0,-,1.741
Jan 25,at Broward College,"W, 65-55",3,8,1,12,13.0,10.0,9.0,7.0,24-50,48.0,9-19,47.4,8-11,72.7,65.0,22-85,25.9,5-30,16.7,55.0,18,33,51,1.0,17.0,33.0,50.0,1.0,0,1.605,0.958,14,0.647,0.958
Jan 28,Florida Southwestern State College,"L, 76-61",20,15,4,7,33.0,10.0,2.0,18.0,22-66,33.3,6-21,28.6,11-14,78.6,61.0,28-60,46.7,2-7,28.6,76.0,17,18,35,-18.0,14.0,39.0,53.0,-18.0,15,0.803,-0.023,15,0.826,-0.023
Jan 31,at Indian River State College,"W, 81-76",0,7,0,13,25.0,17.0,0.0,21.0,31-47,66.0,5-10,50.0,14-16,87.5,81.0,27-65,41.5,9-22,40.9,76.0,14,26,40,-4.0,22.0,22.0,44.0,-4.0,0,1.976,1.043,16,0.933,1.043
Feb 8,at Palm Beach State College,"L, 76-56",8,1,1,10,16.0,10.0,2.0,15.0,19-56,33.9,4-9,44.4,14-19,73.7,56.0,25-58,43.1,10-25,40.0,76.0,18,24,42,-1.0,15.0,28.0,43.0,-1.0,0,1.009,-0.085,20,1.094,-0.085
