Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBCstl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off _eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 6 #,She Hoops Semi-Pro,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 26 #,at Barry University,"W, 78-69",18,6,5,15,0.0,0.0,0.0,0.0,27-77,35.1,6-16,37.5,18-30,60.0,78.0,0-0,-,0-0,-,69.0,21,34,55,55.0,0.0,0.0,0.0,55.0,16,0.876,0.876,0.0,-,0.876
Nov 2,at Hillsborough Community College,"L, 87-85",25,9,0,15,19.0,15.0,6.0,10.0,32-82,39.0,8-21,38.1,13-26,50.0,85.0,25-70,35.7,11-27,40.7,87.0,27,31,58,29.0,7.0,22.0,29.0,29.0,29,0.914,0.061,19.0,0.853,0.061
Nov 3,at St. Petersburg College,"L, 85-78",25,7,10,13,29.0,13.0,3.0,10.0,28-114,24.6,5-16,31.3,17-33,51.5,78.0,33-74,44.6,5-12,41.7,85.0,34,27,61,14.0,15.0,32.0,47.0,14.0,27,0.642,-0.160,23.0,0.802,-0.16
Nov 4,at IMG Academy,"W, 92-87",10,10,2,22,0.0,0.0,0.0,0.0,35-105,33.3,5-26,19.2,17-29,58.6,92.0,0-0,-,0-0,-,87.0,41,24,65,65.0,0.0,0.0,0.0,65.0,14,1.040,1.040,0.0,-,1.04
Nov 9,vs. Eastern Florida State College,"L, 75-73",22,12,3,11,20.0,10.0,6.0,18.0,22-85,25.9,7-21,33.3,22-39,56.4,73.0,29-73,39.7,7-25,28.0,75.0,19,34,53,1.0,14.0,38.0,52.0,1.0,20,0.679,-0.168,22.0,0.847,-0.168
Nov 10,vs. Santa Fe College,"W, 80-76",14,10,8,22,23.0,10.0,1.0,14.0,27-72,37.5,10-21,47.6,16-26,61.5,80.0,26-70,37.1,8-18,44.4,76.0,7,32,39,-2.0,15.0,26.0,41.0,-2.0,17,0.870,0.061,19.0,0.809,0.061
Nov 13,IMG Academy,"W, 124-102",17,7,3,32,0.0,0.0,0.0,0.0,51-100,51.0,12-24,50.0,10-14,71.4,124.0,0-0,-,0-0,-,102.0,25,38,63,63.0,0.0,0.0,0.0,63.0,19,1.253,1.253,0.0,-,1.253
Nov 29,vs. Santa Fe College,"L, 76-63",18,9,5,10,16.0,8.0,3.0,18.0,25-67,37.3,2-18,11.1,11-20,55.0,63.0,28-75,37.3,6-21,28.6,76.0,13,27,40,-11.0,20.0,31.0,51.0,-11.0,20,0.768,-0.153,17.0,0.921,-0.153
Dec 2,at Florida Southwestern State College,"L, 100-80",24,9,4,13,20.0,11.0,6.0,18.0,34-76,44.7,3-17,17.6,9-15,60.0,80.0,32-78,41.0,4-19,21.1,100.0,21,25,46,-6.0,23.0,29.0,52.0,-6.0,23,0.925,-0.145,10.0,1.07,-0.145
