S_3pt_m,S_fg_pct,BC_to,BC_stl,R_reb,S_ft_pct,Score
1,53.8,21,9,29,68.2,"L, 72-58"
2,62.5,31,12,44,71.4,"W, 82-69"
5,38.5,24,15,35,42.9,"L, 80-58"
9,56.8,19,5,43,72.7,"W, 101-87"
6,38.8,13,13,42,65.9,"W, 87-80"
7,41.1,11,3,48,76.9,"W, 77-54"
5,43.1,23,9,54,75,"W, 85-75"
6,53.4,14,0,29,75,"W, 83-77"
11,46.5,9,17,44,46.2,"W, 97-60"
2,25,17,10,51,55,"L, 56-49"
7,40.3,15,7,28,69.2,"L, 86-70"
6,49.4,16,13,53,67.9,"W, 109-81"
8,32.1,22,12,57,55.2,"L, 76-74"
10,55.7,5,9,33,64.7,"W, 89-76"
7,40.6,14,12,29,92.3,"L, 77-75"
12,50,15,26,56,66.7,"W, 132-68"
7,50.6,15,13,41,44.4,"W, 89-78"
13,43.2,14,25,55,84.2,"W, 99-46"
3,32.9,17,13,55,82.6,"W, 72-55"
8,43.1,22,7,38,50,"L, 82-68"
5,40.5,12,15,47,72.7,"W, 77-51"
10,37.9,26,11,66,66.7,"L, 105-100"
7,44.3,18,8,41,38.5,"W, 87-60"
6,39.7,13,12,50,58.8,"W, 78-69"
5,33.8,16,7,43,65.6,"W, 78-66"
3,54.3,23,18,44,78.6,"W, 90-69"
6,34.2,14,11,48,74.4,"W, 89-88"
2,41.3,12,8,34,75,"L, 74-60"
5,39.8,18,20,34,50,"W, 80-56"
11,36.8,15,7,68,70.6,"W, 87-60"
7,31.8,12,12,57,58.3,"L, 74-70"
4,25.5,23,5,33,33.3,"L, 80-35"
5,29.4,28,8,39,61.5,"L, 83-53"
6,71.4,0,10,35,75,"W, 92-73"
1,56.9,2,2,42,55.6,"L, 65-62"
8,42.9,4,6,33,61.1,"L, 72-67"
3,28.6,26,10,51,70,"L, 86-57"
1,45.9,14,8,20,70,"L, 59-48"
2,23.5,25,9,43,50,"L, 54-42"
2,56.5,12,10,34,75,"W, 63-57"
8,41.8,9,4,23,68.4,"L, 84-67"
1,45.3,0,5,34,75,"L, 90-52"
5,38.8,20,7,32,77.8,"L, 71-64"
6,42.4,14,12,42,68.2,"W, 77-66"
7,41.7,0,12,25,87.5,"L, 70-60"
4,23.2,19,9,34,66.7,"L, 85-46"
3,32.8,19,10,32,71.4,"L, 60-51"
6,20.8,13,10,42,68.8,"L, 44-39"
11,26.3,14,8,42,88.2,"L, 76-66"
10,46.7,10,17,39,77.8,"W, 87-71"
12,43.8,20,9,35,80,"L, 90-88"
3,45.5,11,12,33,56.3,"L, 75-72"
9,49.2,13,6,27,58.3,"L, 75-74"
6,40.3,14,7,40,45.5,"L, 77-65"
2,31.3,12,0,35,64.7,"L, 78-55"
8,45.2,12,23,40,80,"W, 102-60"
6,55.8,0,11,22,52.9,"W, 73-61"
4,52.3,0,1,23,65.2,"L, 93-65"
10,39.7,18,9,29,57.1,"L, 81-68"
7,25.9,0,0,41,77.3,"L, 70-53"
9,26.3,18,13,35,60,"L, 69-63"
