Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff,,,,,,,,,
Sep 18 #,NCAA D1 Practice Tour,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Oct 13 #,at St. Thomas University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Nov 1 #,Florida National University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
Nov 6 #,at Palm Beach Atlantic University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
10-Nov,at Northwest Florida State College,"L, 80-35",23,5,0,8,9.0,9.0,4.0,25.0,14-55,25.5,4-17,23.5,3-9,33.3,35.0,32-56,57.1,1-11,9.1,80.0,16,17,33,-2.0,8.0,27.0,35.0,-2.0,17,0.526,-0.642,10.0,1.168,-0.642,,,,,,,,,
11-Nov,vs. Gulf Coast State College,"L, 83-53",28,8,1,11,21.0,12.0,8.0,19.0,20-68,29.4,5-15,33.3,8-13,61.5,53.0,31-65,47.7,3-13,23.1,83.0,14,25,39,-10.0,12.0,37.0,49.0,-10.0,21,0.599,-0.350,13.0,0.949,-0.350,,,,,,,,,
24-Nov,vs. Georgia Highlands College,"W, 92-73",0,10,0,14,33.0,4.0,3.0,12.0,35-49,71.4,6-7,85.7,18-24,75.0,92.0,23-55,41.8,8-23,34.8,73.0,14,21,35,1.0,13.0,21.0,34.0,1.0,0,1.957,1.133,14.0,0.825,1.133,,,,,,,,,
25-Nov,at South Georgia Technical College,"L, 65-62",2,2,6,2,16.0,7.0,2.0,17.0,29-51,56.9,1-2,50.0,5-9,55.6,62.0,22-65,33.8,7-31,22.6,65.0,16,26,42,0.0,13.0,29.0,42.0,0.0,0,1.494,0.650,14.0,0.844,0.650,,,,,,,,,
1-Dec,vs. Western Wyoming Community College,"L, 72-67",4,6,0,0,25.0,7.0,1.0,12.0,24-56,42.9,8-21,38.1,11-18,61.1,67.0,25-55,45.5,5-17,29.4,72.0,4,29,33,-7.0,8.0,32.0,40.0,-7.0,7,1.031,0.184,11.0,0.847,0.184,,,,,,,,,
2-Dec,vs. Chipola College,"L, 86-57",26,10,0,7,21.0,17.0,5.0,21.0,20-70,28.6,3-11,27.3,14-20,70.0,57.0,32-64,50.0,16-31,51.6,86.0,26,25,51,13.0,10.0,28.0,38.0,13.0,17,0.713,-0.362,19.0,1.075,-0.362,,,,,,,,,
