Date,Opponent,Score,BC_to,BC_stl,BC_blk,BC_ast,OBC_to,OBC_stl,OBC_blk,OBC_ast,S_fg,S_fg_pct,S_3pt,S_3pt_pct,S_ft,S_ft_pct,S_pts,OS_fg,OS_fg_pct,OS_3pt,OS_3pt_pct,OS_pts,R_off,R_def,R_reb,R_mrgn,OR_off,OR_def,OR_reb,OR_mrgn,P_pf,P_off_eff,P_net_eff,OP_pf,OP_def_eff,OP_net_eff
Oct 15 #,at St. Thomas University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 19 #,at Barry University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oct 23 #,Ft. Lauderdale University,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nov 1,South Georgia Technical College,"L, 72-58",21,9,3,9,31.0,8.0,0.0,20.0,21-39,53.8,1-3,33.3,15-22,68.2,58.0,27-48,56.3,7-19,36.8,72.0,13,16,29,-15.0,15.0,29.0,44.0,-15,17,1,0.04,24,0.96,0.04
Nov 2,at Tallahassee State College,"W, 82-69",31,12,1,10,26.0,17.0,1.0,15.0,35-56,62.5,2-4,50.0,10-14,71.4,82.0,22-65,33.8,6-21,28.6,69.0,19,25,44,15.0,10.0,19.0,29.0,15,19,1.093,0.375,0,0.719,0.375
Nov 15,vs. Northwest Florida State College,"L, 80-58",24,15,6,13,21.0,12.0,4.0,23.0,25-65,38.5,5-17,29.4,3-7,42.9,58.0,30-63,47.6,5-14,35.7,80.0,15,20,35,-8.0,17.0,26.0,43.0,-8,19,0.748,-0.284,10,1.032,-0.284
Nov 16,vs. Western Wyoming Community College,"W, 101-87",19,5,5,19,15.0,11.0,2.0,19.0,42-74,56.8,9-17,52.9,8-11,72.7,101.0,35-70,50.0,9-17,52.9,87.0,14,29,43,13.0,10.0,20.0,30.0,13,12,1.195,0.128,16,1.067,0.128
Nov 22,vs. East Georgia State College,"W, 87-80",13,13,4,13,19.0,10.0,3.0,17.0,26-67,38.8,6-22,27.3,29-44,65.9,87.0,32-73,43.8,10-30,33.3,80.0,18,24,42,-10.0,17.0,35.0,52.0,-10,18,1.036,0.042,34,0.994,0.042
Nov 23,at DME Academy,"W, 77-54",11,3,1,13,17.0,4.0,0.0,11.0,30-73,41.1,7-22,31.8,10-13,76.9,77.0,22-68,32.4,6-22,27.3,54.0,19,29,48,5.0,18.0,25.0,43.0,5,12,1.077,0.327,16,0.75,0.327
Dec 2,Hillsborough Community College,"W, 85-75",23,9,5,19,20.0,9.0,3.0,19.0,31-72,43.1,5-21,23.8,18-24,75.0,85.0,29-78,37.2,9-33,27.3,75.0,16,38,54,13.0,13.0,28.0,41.0,13,17,0.934,0.119,19,0.815,0.119
