Date,Opponent,Score,to,stl,blk,ast
Oct 15 #,at St. Thomas University,,-,-,-,-
Oct 19 #,at Barry University,,-,-,-,-
Oct 23 #,Ft. Lauderdale University,,-,-,-,-
1-Nov,South Georgia Technical College,"L, 72-58",31,8,0,20
2-Nov,at Tallahassee State College,"W, 82-69",26,17,1,15
15-Nov,vs. Northwest Florida State College,"L, 80-58",21,12,4,23
16-Nov,vs. Western Wyoming Community College,"W, 101-87",15,11,2,19
22-Nov,vs. East Georgia State College,"W, 87-80",19,10,3,17
23-Nov,at DME Academy,"W, 77-54",17,4,0,11
2-Dec,Hillsborough Community College,"W, 85-75",20,9,3,19
7-Dec,at Santa Fe College,"W, 83-77",23,11,3,18
9-Dec,St. Petersburg College,"W, 97-60",29,3,2,15
14-Dec,Eastern Florida State College,"L, 56-49",21,8,2,9
16-Dec,at Florida Southwestern State College,"L, 86-70",21,11,3,23
18-Dec,at Daytona State College,"W, 109-81",21,11,3,12
30-Dec,at Pensacola State College,"L, 76-74",12,6,0,13
31-Dec,vs. Mississippi Gulf Coast Community College,"W, 89-76",19,6,1,16
3-Jan,vs. Bryant & Stratton College (VA),"L, 77-75",12,15,0,24
4-Jan,vs. Montgomery College (MD),"W, 132-68",38,13,2,17
11-Jan,at Daytona State College,"W, 89-78",19,4,3,21
15-Jan,St. Petersburg College,"W, 99-46",30,7,2,11
18-Jan,Santa Fe College,"W, 72-55",19,6,3,10
22-Jan,at Eastern Florida State College,"L, 82-68",17,13,1,22
25-Jan,Florida Southwestern State College,"W, 77-51",22,5,6,14
1-Feb,at Hillsborough Community College,"L, 105-100",21,15,2,29
5-Feb,at Palm Beach State College,"W, 87-60",28,13,2,22
12-Feb,Daytona State College,"W, 78-69",21,4,3,15
15-Feb,at St. Petersburg College,"W, 78-66",10,6,3,12
19-Feb,Palm Beach State College,"W, 90-69",22,10,2,20
22-Feb,Eastern Florida State College,"W, 89-88",19,7,2,19
26-Feb,at Florida Southwestern State College,"L, 74-60",14,10,1,23
1-Mar,at Santa Fe College,"W, 80-56",31,12,11,14
3-Mar,Hillsborough Community College,"W, 87-60",9,5,2,14
12-Mar,vs. Chipola College,"L, 74-70",18,7,3,20
