Date,Opponent,Score,off,def,reb,mrgn
Oct 15 #,at St. Thomas University,,-,-,-,-
Oct 19 #,at Barry University,,-,-,-,-
Oct 23 #,Ft. Lauderdale University,,-,-,-,-
1-Nov,South Georgia Technical College,"L, 72-58",15,29,44,-15
2-Nov,at Tallahassee State College,"W, 82-69",10,19,29,15
15-Nov,vs. Northwest Florida State College,"L, 80-58",17,26,43,-8
16-Nov,vs. Western Wyoming Community College,"W, 101-87",10,20,30,13
22-Nov,vs. East Georgia State College,"W, 87-80",17,35,52,-10
23-Nov,at DME Academy,"W, 77-54",18,25,43,5
2-Dec,Hillsborough Community College,"W, 85-75",13,28,41,13
7-Dec,at Santa Fe College,"W, 83-77",15,26,41,-12
9-Dec,St. Petersburg College,"W, 97-60",10,20,30,14
14-Dec,Eastern Florida State College,"L, 56-49",8,36,44,7
16-Dec,at Florida Southwestern State College,"L, 86-70",18,30,48,-20
18-Dec,at Daytona State College,"W, 109-81",19,26,45,8
30-Dec,at Pensacola State College,"L, 76-74",7,24,31,26
31-Dec,vs. Mississippi Gulf Coast Community College,"W, 89-76",15,34,49,-16
3-Jan,vs. Bryant & Stratton College (VA),"L, 77-75",19,20,39,-10
4-Jan,vs. Montgomery College (MD),"W, 132-68",13,11,24,32
11-Jan,at Daytona State College,"W, 89-78",9,23,32,9
15-Jan,St. Petersburg College,"W, 99-46",11,28,39,16
18-Jan,Santa Fe College,"W, 72-55",10,35,45,10
22-Jan,at Eastern Florida State College,"L, 82-68",13,30,43,-5
25-Jan,Florida Southwestern State College,"W, 77-51",13,32,45,2
1-Feb,at Hillsborough Community College,"L, 105-100",22,28,50,16
5-Feb,at Palm Beach State College,"W, 87-60",15,27,42,-1
12-Feb,Daytona State College,"W, 78-69",15,31,46,4
15-Feb,at St. Petersburg College,"W, 78-66",8,17,25,18
19-Feb,Palm Beach State College,"W, 90-69",14,20,34,10
22-Feb,Eastern Florida State College,"W, 89-88",16,36,52,-4
26-Feb,at Florida Southwestern State College,"L, 74-60",18,27,45,-11
1-Mar,at Santa Fe College,"W, 80-56",24,28,52,-18
3-Mar,Hillsborough Community College,"W, 87-60",10,36,46,22
12-Mar,vs. Chipola College,"L, 74-70",21,38,59,-2
