Date,Opponent,Score,off,def,reb,mrgn
Oct 15 #,at St. Thomas University,,-,-,-,-
Oct 19 #,at Barry University,,-,-,-,-
Oct 23 #,Ft. Lauderdale University,,-,-,-,-
1-Nov,South Georgia Technical College,"L, 72-58",13,16,29,-15
2-Nov,at Tallahassee State College,"W, 82-69",19,25,44,15
15-Nov,vs. Northwest Florida State College,"L, 80-58",15,20,35,-8
16-Nov,vs. Western Wyoming Community College,"W, 101-87",14,29,43,13
22-Nov,vs. East Georgia State College,"W, 87-80",18,24,42,-10
23-Nov,at DME Academy,"W, 77-54",19,29,48,5
2-Dec,Hillsborough Community College,"W, 85-75",16,38,54,13
7-Dec,at Santa Fe College,"W, 83-77",15,14,29,-12
9-Dec,St. Petersburg College,"W, 97-60",24,20,44,14
14-Dec,Eastern Florida State College,"L, 56-49",23,28,51,7
16-Dec,at Florida Southwestern State College,"L, 86-70",12,16,28,-20
18-Dec,at Daytona State College,"W, 109-81",20,33,53,8
30-Dec,at Pensacola State College,"L, 76-74",19,38,57,26
31-Dec,vs. Mississippi Gulf Coast Community College,"W, 89-76",10,23,33,-16
3-Jan,vs. Bryant & Stratton College (VA),"L, 77-75",9,20,29,-10
4-Jan,vs. Montgomery College (MD),"W, 132-68",24,32,56,32
11-Jan,at Daytona State College,"W, 89-78",16,25,41,9
15-Jan,St. Petersburg College,"W, 99-46",19,36,55,16
18-Jan,Santa Fe College,"W, 72-55",19,36,55,10
22-Jan,at Eastern Florida State College,"L, 82-68",10,28,38,-5
25-Jan,Florida Southwestern State College,"W, 77-51",15,32,47,2
1-Feb,at Hillsborough Community College,"L, 105-100",27,39,66,16
5-Feb,at Palm Beach State College,"W, 87-60",12,29,41,-1
12-Feb,Daytona State College,"W, 78-69",19,31,50,4
15-Feb,at St. Petersburg College,"W, 78-66",15,28,43,18
19-Feb,Palm Beach State College,"W, 90-69",13,31,44,10
22-Feb,Eastern Florida State College,"W, 89-88",21,27,48,-4
26-Feb,at Florida Southwestern State College,"L, 74-60",10,24,34,-11
1-Mar,at Santa Fe College,"W, 80-56",19,15,34,-18
3-Mar,Hillsborough Community College,"W, 87-60",22,46,68,22
12-Mar,vs. Chipola College,"L, 74-70",26,31,57,-2
