Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Date,Opponent,Score,fg,fg_pct,3pt,3pt_pct,ft,ft_pct,pts
Oct 15 #,at St. Thomas University, ,-,-,-,-,-,-,-
Oct 19 #,at Barry University, ,-,-,-,-,-,-,-
Oct 23 #,Ft. Lauderdale University, ,-,-,-,-,-,-,-
Nov 1,South Georgia Technical College,"L, 72-58",21-39,53.8,1-3,33.3,15-22,68.2,58.0
Nov 2,at Tallahassee State College,"W, 82-69",35-56,62.5,2-4,50.0,10-14,71.4,82.0
Nov 15,vs. Northwest Florida State College,"L, 80-58",25-65,38.5,5-17,29.4,3-7,42.9,58.0
Nov 16,vs. Western Wyoming Community College,"W, 101-87",42-74,56.8,9-17,52.9,8-11,72.7,101.0
Nov 22,vs. East Georgia State College,"W, 87-80",26-67,38.8,6-22,27.3,29-44,65.9,87.0
Nov 23,at DME Academy,"W, 77-54",30-73,41.1,7-22,31.8,10-13,76.9,77.0
Dec 2,Hillsborough Community College,"W, 85-75",31-72,43.1,5-21,23.8,18-24,75.0,85.0
Dec 7,at Santa Fe College,"W, 83-77",31-58,53.4,6-17,35.3,15-20,75.0,83.0
Dec 9,St. Petersburg College,"W, 97-60",40-86,46.5,11-28,39.3,6-13,46.2,97.0
Dec 14,Eastern Florida State College,"L, 56-49",18-72,25.0,2-14,14.3,11-20,55.0,49.0
Dec 16,at Florida Southwestern State College,"L, 86-70",27-67,40.3,7-30,23.3,9-13,69.2,70.0
Dec 18,at Daytona State College,"W, 109-81",42-85,49.4,6-16,37.5,19-28,67.9,109.0
Dec 30,at Pensacola State College,"L, 76-74",25-78,32.1,8-30,26.7,16-29,55.2,74.0
Dec 31,vs. Mississippi Gulf Coast Community College,"W, 89-76",34-61,55.7,10-16,62.5,11-17,64.7,89.0
Jan 3,vs. Bryant & Stratton College (VA),"L, 77-75",28-69,40.6,7-23,30.4,12-13,92.3,75.0
Jan 4,vs. Montgomery College (MD),"W, 132-68",53-106,50.0,12-26,46.2,14-21,66.7,132.0
Jan 11,at Daytona State College,"W, 89-78",39-77,50.6,7-18,38.9,4-9,44.4,89.0
Jan 15,St. Petersburg College,"W, 99-46",35-81,43.2,13-35,37.1,16-19,84.2,99.0
Jan 18,Santa Fe College,"W, 72-55",25-76,32.9,3-21,14.3,19-23,82.6,72.0
Jan 22,at Eastern Florida State College,"L, 82-68",28-65,43.1,8-24,33.3,4-8,50.0,68.0
Jan 25,Florida Southwestern State College,"W, 77-51",32-79,40.5,5-23,21.7,8-11,72.7,77.0
Feb 1,at Hillsborough Community College,"L, 105-100",39-103,37.9,10-28,35.7,12-18,66.7,100.0
Feb 5,at Palm Beach State College,"W, 87-60",35-79,44.3,7-27,25.9,10-26,38.5,87.0
Feb 12,Daytona State College,"W, 78-69",31-78,39.7,6-22,27.3,10-17,58.8,78.0
Feb 15,at St. Petersburg College,"W, 78-66",26-77,33.8,5-16,31.3,21-32,65.6,78.0
Feb 19,Palm Beach State College,"W, 90-69",38-70,54.3,3-15,20.0,11-14,78.6,90.0
Feb 22,Eastern Florida State College,"W, 89-88",27-79,34.2,6-22,27.3,29-39,74.4,89.0
Feb 26,at Florida Southwestern State College,"L, 74-60",26-63,41.3,2-12,16.7,6-8,75.0,60.0
Mar 1,at Santa Fe College,"W, 80-56",33-83,39.8,5-21,23.8,9-18,50.0,80.0
Mar 3,Hillsborough Community College,"W, 87-60",32-87,36.8,11-32,34.4,12-17,70.6,87.0
Mar 12,vs. Chipola College,"L, 74-70",28-88,31.8,7-32,21.9,7-12,58.3,70.0
