Date,Opponent,Score,BC_to,BC_stl,S_ft_pct,R_reb,S_3pt,S_fg_pct
2-Nov,vs. East Georgia State College,"W, 65-48",16,21,48.4,49,4,29.9
3-Nov,vs. Santa Fe College,"L, 81-78",21,21,48.6,42,3,34.1
5-Nov,Daytona State College,"W, 65-54",18,12,62.1,56,3,28.6
8-Nov,vs. College of Central Florida,"L, 66-48",17,9,35.7,41,7,26.1
9-Nov,vs. Daytona State College,"L, 54-53",20,8,60,45,3,30.6
23-Nov,Hillsborough Community College,"L, 75-66",20,7,53.8,46,5,40.9
29-Nov,at Northwest Florida State College,"L, 106-52",33,8,50,48,1,25
30-Nov,vs. Chipola College,"L, 98-51",25,8,78.1,27,0,31
6-Dec,vs. Daytona State College,"L, 67-64",20,5,55.6,47,5,38
7-Dec,at College of Central Florida,"L, 70-64",20,11,50,45,8,34.7
13-Dec,North Central Missouri College,"W, 93-67",16,11,57.9,57,4,48.1
16-Dec,Johnson County Community College,"L, 85-64",13,7,73.3,43,7,28
17-Dec,Baltimore City Community College,"L, 75-70",25,8,54.5,43,8,34.7
18-Dec,vs. Briar Cliff University,"L, 92-85",24,17,62.5,53,5,43.2
8-Jan,at Broward College,"W, 88-59",12,15,68.8,56,9,48.6
11-Jan,at Eastern Florida State College,"W, 78-49",17,12,57.1,56,6,39
14-Jan,Indian River State College,"L, 65-59",22,11,55.6,40,3,31.5
18-Jan,Palm Beach State College,"L, 83-57",10,7,60,42,6,31.6
22-Jan,Broward College,"W, 80-46",14,14,63.6,48,2,48.7
25-Jan,at St. Petersburg College,"L, 74-52",20,11,75,37,4,28
28-Jan,at Indian River State College,"W, 77-76",21,11,52.2,39,5,41.7
31-Jan,St. Petersburg College,"L, 70-52",19,5,58.8,38,6,29
1-Feb,at Palm Beach State College,"L, 89-67",15,6,64.3,40,6,36.6
5-Feb,Eastern Florida State College,"W, 88-76",13,12,73.3,43,9,44.7
8-Feb,at St. Petersburg College,"L, 85-60",19,7,57.9,30,9,28.6
11-Feb,at Broward College,"L, 89-80",15,10,66.7,56,2,39.3
17-Feb,at Eastern Florida State College,"W, 89-62",12,13,61.9,49,6,49.3
19-Feb,at Indian River State College,"W, 81-72",9,9,69.2,36,6,44.6
22-Feb,Palm Beach State College,"L, 61-55",13,11,78.6,46,4,26.7
31-Oct,vs. College of Central Florida,"L, 70-56",13,10,50,49,8,35.9
1-Nov,at Santa Fe College,"L, 80-72",0,4,90.9,64,6,40.6
4-Nov,Daytona State College,"L, 61-58",4,13,66.7,31,8,39.1
8-Nov,vs. South Georgia Technical College,"L, 64-40",0,0,76.2,31,0,34.3
9-Nov,at Daytona State College,"L, 64-51",13,2,80,31,5,25
14-Nov,at College of Central Florida,"L, 73-48",14,4,77.8,33,5,35.6
15-Nov,vs. Central Georgia Technical College,"L, 70-60",9,12,70,43,2,47.8
21-Nov,vs. Hillsborough Community College,"W, 71-68",0,8,75,38,8,42.9
22-Nov,Gulf Coast State College,"W, 95-80",10,8,82.4,90,13,72.3
22-Nov,Santa Fe College,"W, 92-89",0,11,87.5,40,10,57.6
5-Dec,at Hillsborough Community College,"W, 66-58",11,8,78.9,47,7,46.9
12-Dec,vs. Florida State College at Jacksonville,"L, 113-49",0,0,52.9,42,4,24.3
13-Dec,vs. Tallahassee Community College,"L, 64-54",0,0,50,32,3,41.1
18-Dec,Baltimore City Community College,"W, 75-65",11,6,66.7,37,5,33.8
19-Dec,vs. University of New Brunswick,"L, 63-62",5,15,75,32,5,40.7
3-Jan,at St. Petersburg College,"L, 76-66",0,0,66.7,34,6,35.1
7-Jan,at Broward College,"W, 84-68",6,21,76.7,40,6,36.5
10-Jan,Eastern Florida State College,"L, 80-68",6,4,66.7,36,4,36
13-Jan,Palm Beach State College,"L, 72-62",9,14,70,29,4,31.9
17-Jan,at Indian River State College,"W, 78-62",15,14,77.4,59,4,41.7
21-Jan,Broward College,"W, 78-57",3,21,60,57,3,40.5
24-Jan,at St. Petersburg College,"W, 84-83",10,15,81,38,7,41.7
27-Jan,at Palm Beach State College,"W, 88-62",8,24,92.9,40,10,32.5
31-Jan,at Eastern Florida State College,"L, 80-64",11,9,76.9,94,6,28.6
7-Feb,Indian River State College,"W, 78-67",2,18,94.1,45,4,42.6
10-Feb,at Broward College,"W, 99-80",6,18,76.5,40,6,48.2
14-Feb,Eastern Florida State College,"L, 82-71",11,0,78.9,84,6,32.9
18-Feb,Palm Beach State College,"W, 71-49",17,18,81.8,45,4,53.6
21-Feb,St. Petersburg College,"W, 93-92",0,24,85,53,4,49.3
24-Feb,at Indian River State College,"W, 86-63",10,8,77.8,53,8,49.2
4-Mar,vs. Chipola College,"L, 83-61",0,2,75,34,2,56.4
31-Oct,Hillsborough Community College,"W, 95-73",19,10,76.9,56,11,35.8
2-Nov,at Webber JV,"W, 75-29",17,25,58.3,65,5,29.8
6-Nov,vs. Hillsborough Community College,"L, 80-68",17,8,44.8,49,5,32.1
7-Nov,at Daytona State College,"L, 76-73",18,7,51.7,52,2,37.8
13-Nov,at College of Central Florida,"L, 61-57",0,15,75,37,8,25
14-Nov,vs. Santa Fe College,"W, 74-65",0,18,66.7,51,8,36.1
19-Nov,at ASA College (Miami),"W, 103-47",6,20,61.1,62,11,44.3
